Date,Name,Year,Letterboxd URI
2025-07-11,The Exorcist III,1990,https://boxd.it/1Tum
2025-07-15,A Bittersweet Life,2005,https://boxd.it/1U4Y
2025-07-20,Blue Sunshine,1977,https://boxd.it/10wW
2025-07-20,I Used to Be Funny,2023,https://boxd.it/yzvU
2025-07-25,Serpent's Path,1998,https://boxd.it/3wWc
2025-07-25,Green Bug,1991,https://boxd.it/jcXc
2025-07-28,The Trap,1996,https://boxd.it/42d4
2025-07-29,The American Friend,1977,https://boxd.it/1UkC
2025-08-01,Incendies,2010,https://boxd.it/Msm
2025-08-08,Serial Mom,1994,https://boxd.it/1Tty
2025-08-08,Monster,2003,https://boxd.it/2afy
2025-08-11,X-Cross,2007,https://boxd.it/1PjY
2025-08-11,Sunset Boulevard,1950,https://boxd.it/2a20
2025-08-11,Grand Illusion,1937,https://boxd.it/29Ei
2025-08-11,Cloud Atlas,2012,https://boxd.it/2W60
